Fecha;Hora;P;Q
2017-04-01;5:45;0;18,48815579
2017-04-01;5:50;0;18,38775511
2017-04-01;5:55;0;18,49436017
2017-04-01;6:00;0;18,44262493
2017-04-01;6:05;0;18,22087222
2017-04-01;6:10;0;18,21243414
2017-04-01;6:15;0;18,3321801
2017-04-01;6:20;0;18,27217274
2017-04-01;6:25;0;18,3371283
2017-04-01;6:30;0;18,34692652
2017-04-01;6:35;0;18,33170257
2017-04-01;6:40;0;18,39224939
2017-04-01;6:45;0;18,23976913
2017-04-01;6:50;0;18,32184003
2017-04-01;6:55;0;17,97557974
2017-04-01;7:00;0;18,08281902
2017-04-01;7:05;0;18,15097996
2017-04-01;7:10;0;18,13740628
2017-04-01;7:15;0;17,93893519
2017-04-01;7:20;0;18,02632178
2017-04-01;7:25;0;17,95762906
2017-04-01;7:30;0;17,85610011
2017-04-01;7:35;0;17,86891241
2017-04-01;7:40;0;17,85902965
2017-04-01;7:45;0;17,70827918
2017-04-01;7:50;0;17,93539004
2017-04-01;7:55;0;17,79169648
2017-04-01;8:00;0;17,80576944
2017-04-01;8:05;0;17,83256251
2017-04-01;8:10;0;17,5815653
2017-04-01;8:15;0;17,54040704
2017-04-01;8:20;0;17,49930532
2017-04-01;8:25;0;17,63687284
2017-04-01;8:30;0;17,4742609
2017-04-01;8:35;0;17,55734625
2017-04-01;8:40;0;17,47642654
2017-04-01;8:45;0;17,31572098
2017-04-01;8:50;0;17,46635712
2017-04-01;8:55;0;17,41106513
2017-04-01;9:00;0;17,28105496
2017-04-01;9:05;0;17,22046845
2017-04-01;9:10;0;17,28200783
2017-04-01;9:15;0;17,29830848
2017-04-01;9:20;0;17,27509264
2017-04-01;9:25;0;17,32774531
2017-04-01;9:30;0;17,35291287
2017-04-01;9:35;0;17,26698097
2017-04-01;9:40;0;17,03763268
2017-04-01;9:45;0;17,15469122
2017-04-01;9:50;0;17,17092141
2017-04-01;9:55;0;17,10574387
2017-04-01;10:00;0;17,1238424
2017-04-01;10:05;0;17,05040758
2017-04-01;10:10;0;17,16411391
2017-04-01;10:15;0;17,2417229
2017-04-01;10:20;0;17,35617404
2017-04-01;10:25;0;17,21442152
2017-04-01;10:30;0;17,2257655
2017-04-01;10:35;0;17,22719213
2017-04-01;10:40;0;17,13150702
2017-04-01;10:45;0;17,14210014
2017-04-01;10:50;0;17,02745351
2017-04-01;10:55;0;17,02698119
2017-04-01;11:00;0;17,29494141
2017-04-01;11:05;0;17,11165681
2017-04-01;11:10;0;17,0739041
2017-04-01;11:15;0;16,9598344
2017-04-01;11:20;0;17,16290495
2017-04-01;11:25;0;16,99059097
2017-04-01;11:30;0;17,16828833
2017-04-01;11:35;0;17,03595649
2017-04-01;11:40;0;17,04573226
2017-04-01;11:45;0;16,90265142
2017-04-01;11:50;0;17,10871832
2017-04-01;11:55;0;17,10713455
2017-04-01;12:00;0;17,095755
2017-04-01;12:05;0;16,8570098
2017-04-01;12:10;0;16,88765706
2017-04-01;12:15;0;17,08343343
2017-04-01;12:20;0;17,05296991
2017-04-01;12:25;0;16,80832024
2017-04-01;12:30;0;16,9668075
2017-04-01;12:35;0;17,01804481
2017-04-01;12:40;0;16,85378898
2017-04-01;12:45;0;16,96224165
2017-04-01;12:50;0;16,84132777
2017-04-01;12:55;0;16,83529343
2017-04-01;13:00;0;16,85948925
2017-04-01;13:05;0;16,85337037
2017-04-01;13:10;0;16,97188156
2017-04-01;13:15;0;16,8242323
2017-04-01;13:20;0;16,84497174
2017-04-01;13:25;0;16,76036299
2017-04-01;13:30;0;16,79699795
2017-04-01;13:35;0;16,97185158
2017-04-01;13:40;0;16,89024102
2017-04-01;13:45;0;16,73770402
2017-04-01;13:50;0;16,95084376
2017-04-01;13:55;0;16,86984297
2017-04-01;14:00;0;17,09311975
2017-04-01;14:05;0;16,89656544
2017-04-01;14:10;0;16,91876866
2017-04-01;14:15;0;16,96056091
2017-04-01;14:20;0;16,91216674
2017-04-01;14:25;0;16,91938609
2017-04-01;14:30;0;16,95874209
2017-04-01;14:35;0;17,00657992
2017-04-01;14:40;0;16,89199572
2017-04-01;14:45;0;16,98752965
2017-04-01;14:50;0;17,02792302
2017-04-01;14:55;0;16,87238937
2017-04-01;15:00;0;16,94340963
2017-04-01;15:05;0;16,88061942
2017-04-01;15:10;0;17,03816858
2017-04-01;15:15;0;17,20933865
2017-04-01;15:20;0;17,11931543
2017-04-01;15:25;0;17,23757161
2017-04-01;15:30;0;17,23606266
2017-04-01;15:35;0;17,20306399
2017-04-01;15:40;0;17,26854027
2017-04-01;15:45;0;17,25860796
2017-04-01;15:50;0;17,4311519
2017-04-01;15:55;0;17,32134533
2017-04-01;16:00;0;17,28872759
2017-04-01;16:05;0;17,31091831
2017-04-01;16:10;0;17,36037292
2017-04-01;16:15;0;17,46384436
2017-04-01;16:20;0;17,40440032
2017-04-01;16:25;0;17,32580345
2017-04-01;16:30;0;17,36539688
2017-04-01;16:35;0;17,31840096
2017-04-01;16:40;0;17,30057696
2017-04-01;16:45;0;17,12160309
2017-04-01;16:50;0;17,23281474
2017-04-01;16:55;0;17,39132138
2017-04-01;17:00;0;17,2594115
2017-04-01;17:05;0;17,37457365
2017-04-01;17:10;0;17,18928739
2017-04-01;17:15;0;17,24743012
2017-04-01;17:20;0;17,41839043
2017-04-01;17:25;0;17,4798634
2017-04-01;17:30;0;17,17756439
2017-04-01;17:35;0;17,27459833
2017-04-01;17:40;0;17,28095504
2017-04-01;17:45;0;17,2243361
2017-04-01;17:50;0;17,17605852
2017-04-01;17:55;0;17,20950211
2017-04-01;18:00;0;17,24496897
