Fecha;Hora;T;P_mm;Q_ls
1/02/2017;7:40;1/02/2017 7:40;0;6,824940902
1/02/2017;7:45;1/02/2017 7:45;0;6,63700483
1/02/2017;7:50;1/02/2017 7:50;0;6,839061583
1/02/2017;7:55;1/02/2017 7:55;0;6,724066238
1/02/2017;8:00;1/02/2017 8:00;0;6,775196392
1/02/2017;8:05;1/02/2017 8:05;0;6,803429774
1/02/2017;8:10;1/02/2017 8:10;0;6,774725486
1/02/2017;8:15;1/02/2017 8:15;0;6,728531113
1/02/2017;8:20;1/02/2017 8:20;0;6,710534274
1/02/2017;8:25;1/02/2017 8:25;0;6,715544066
1/02/2017;8:30;1/02/2017 8:30;0;6,664013486
1/02/2017;8:35;1/02/2017 8:35;0;6,701230238
1/02/2017;8:40;1/02/2017 8:40;0;6,696547844
1/02/2017;8:45;1/02/2017 8:45;0;6,664254423
1/02/2017;8:50;1/02/2017 8:50;0;6,65272965
1/02/2017;8:55;1/02/2017 8:55;0;6,651716213
1/02/2017;9:00;1/02/2017 9:00;0;6,64689081
1/02/2017;9:05;1/02/2017 9:05;0;6,604550984
1/02/2017;9:10;1/02/2017 9:10;0;6,630561671
1/02/2017;9:15;1/02/2017 9:15;0;6,707027326
1/02/2017;9:20;1/02/2017 9:20;0;6,573872582
1/02/2017;9:25;1/02/2017 9:25;0;6,650943548
1/02/2017;9:30;1/02/2017 9:30;0;6,761546807
1/02/2017;9:35;1/02/2017 9:35;0;6,804469778
1/02/2017;9:40;1/02/2017 9:40;0;6,638578232
1/02/2017;9:45;1/02/2017 9:45;0;6,674788877
1/02/2017;9:50;1/02/2017 9:50;0;6,816841987
1/02/2017;9:55;1/02/2017 9:55;0;6,770503047
1/02/2017;10:00;1/02/2017 10:00;0;6,866265961
1/02/2017;10:05;1/02/2017 10:05;0;6,894689808
1/02/2017;10:10;1/02/2017 10:10;0;6,750407789
1/02/2017;10:15;1/02/2017 10:15;0;6,942326207
1/02/2017;10:20;1/02/2017 10:20;0;6,994681458
1/02/2017;10:25;1/02/2017 10:25;0;6,961028831
1/02/2017;10:30;1/02/2017 10:30;0;7,074591537
1/02/2017;10:35;1/02/2017 10:35;0;7,100072172
1/02/2017;10:40;1/02/2017 10:40;0;7,046755362
1/02/2017;10:45;1/02/2017 10:45;0;7,201723286
1/02/2017;10:50;1/02/2017 10:50;0;7,076118329
1/02/2017;10:55;1/02/2017 10:55;0;7,210718999
1/02/2017;11:00;1/02/2017 11:00;0;7,305897443
1/02/2017;11:05;1/02/2017 11:05;0;7,215009994
1/02/2017;11:10;1/02/2017 11:10;0;7,324026502
1/02/2017;11:15;1/02/2017 11:15;0;6,677141066
1/02/2017;11:20;1/02/2017 11:20;0;6,702649082
1/02/2017;11:25;1/02/2017 11:25;0;6,6334712
1/02/2017;11:30;1/02/2017 11:30;0;6,762370626
1/02/2017;11:35;1/02/2017 11:35;0;6,87789898
1/02/2017;11:40;1/02/2017 11:40;0;6,936981501
1/02/2017;11:45;1/02/2017 11:45;0;6,976212145
1/02/2017;11:50;1/02/2017 11:50;0;7,125492859
1/02/2017;11:55;1/02/2017 11:55;0;6,969109374
1/02/2017;12:00;1/02/2017 12:00;0;7,023059893
1/02/2017;12:05;1/02/2017 12:05;0;6,969484178
1/02/2017;12:10;1/02/2017 12:10;0;7,109763294
1/02/2017;12:15;1/02/2017 12:15;0;7,119763789
1/02/2017;12:20;1/02/2017 12:20;0;6,950846135
1/02/2017;12:25;1/02/2017 12:25;0;7,053726684
1/02/2017;12:30;1/02/2017 12:30;0;7,140466718
1/02/2017;12:35;1/02/2017 12:35;0;7,141762962
1/02/2017;12:40;1/02/2017 12:40;0;6,85180559
1/02/2017;12:45;1/02/2017 12:45;0;6,996777206
1/02/2017;12:50;1/02/2017 12:50;2,776685542;6,854821113
1/02/2017;12:55;1/02/2017 12:55;6,386376747;6,995147912
1/02/2017;13:00;1/02/2017 13:00;2,499016988;6,830776586
1/02/2017;13:05;1/02/2017 13:05;2,499016988;10,44479253
1/02/2017;13:10;1/02/2017 13:10;0,833005663;15,02278922
1/02/2017;13:15;1/02/2017 13:15;0,555337108;15,41503106
1/02/2017;13:20;1/02/2017 13:20;0,277668554;14,45869993
1/02/2017;13:25;1/02/2017 13:25;0;11,50216089
1/02/2017;13:30;1/02/2017 13:30;0;12,09944904
1/02/2017;13:35;1/02/2017 13:35;0,277668554;17,24633167
1/02/2017;13:40;1/02/2017 13:40;0,277668554;15,51375376
1/02/2017;13:45;1/02/2017 13:45;0;13,59078475
1/02/2017;13:50;1/02/2017 13:50;0;11,8298773
1/02/2017;13:55;1/02/2017 13:55;0;10,71185696
1/02/2017;14:00;1/02/2017 14:00;0;14,20171906
1/02/2017;14:05;1/02/2017 14:05;0;13,06763457
1/02/2017;14:10;1/02/2017 14:10;0;12,07433661
1/02/2017;14:15;1/02/2017 14:15;0;11,41491923
1/02/2017;14:20;1/02/2017 14:20;0;10,77109041
1/02/2017;14:25;1/02/2017 14:25;0;10,10182158
1/02/2017;14:30;1/02/2017 14:30;0;9,652658833
1/02/2017;14:35;1/02/2017 14:35;0;9,37326694
1/02/2017;14:40;1/02/2017 14:40;0;9,102435892
1/02/2017;14:45;1/02/2017 14:45;0;8,726244427
1/02/2017;14:50;1/02/2017 14:50;0;8,496139565
1/02/2017;14:55;1/02/2017 14:55;0;8,267639049
1/02/2017;15:00;1/02/2017 15:00;0;8,198001805
1/02/2017;15:05;1/02/2017 15:05;0;8,160643665
1/02/2017;15:10;1/02/2017 15:10;0;8,120884472
1/02/2017;15:15;1/02/2017 15:15;0;8,026329442
1/02/2017;15:20;1/02/2017 15:20;0;7,975994366
1/02/2017;15:25;1/02/2017 15:25;0;8,029320092
1/02/2017;15:30;1/02/2017 15:30;0;8,198430692
1/02/2017;15:35;1/02/2017 15:35;0;8,229131776
1/02/2017;15:40;1/02/2017 15:40;0;8,358604234
1/02/2017;15:45;1/02/2017 15:45;0;8,309616589
1/02/2017;15:50;1/02/2017 15:50;0;8,278830375
1/02/2017;15:55;1/02/2017 15:55;0;8,489775417
1/02/2017;16:00;1/02/2017 16:00;0;8,80374869
1/02/2017;16:05;1/02/2017 16:05;0;8,761785197
1/02/2017;16:10;1/02/2017 16:10;0;8,964916475
1/02/2017;16:15;1/02/2017 16:15;0;8,963441762
1/02/2017;16:20;1/02/2017 16:20;0;9,125408342
1/02/2017;16:25;1/02/2017 16:25;0;9,134102925
1/02/2017;16:30;1/02/2017 16:30;0;9,232580705
1/02/2017;16:35;1/02/2017 16:35;0;9,397004345
1/02/2017;16:40;1/02/2017 16:40;0;9,418745231
1/02/2017;16:45;1/02/2017 16:45;0;9,417707881
1/02/2017;16:50;1/02/2017 16:50;0;9,237468382
1/02/2017;16:55;1/02/2017 16:55;0;9,344484948
1/02/2017;17:00;1/02/2017 17:00;0;9,430787318
1/02/2017;17:05;1/02/2017 17:05;0;9,539979608
1/02/2017;17:10;1/02/2017 17:10;0;9,389455713
1/02/2017;17:15;1/02/2017 17:15;0;9,407845499
1/02/2017;17:20;1/02/2017 17:20;0;9,229598815
1/02/2017;17:25;1/02/2017 17:25;0;9,25357396
1/02/2017;17:30;1/02/2017 17:30;0;9,275606867
1/02/2017;17:35;1/02/2017 17:35;0;9,337516487
1/02/2017;17:40;1/02/2017 17:40;0;9,172170363
1/02/2017;17:45;1/02/2017 17:45;0;9,030145616
1/02/2017;17:50;1/02/2017 17:50;0;9,090140961
1/02/2017;17:55;1/02/2017 17:55;0;9,019945056
1/02/2017;18:00;1/02/2017 18:00;0;9,121198735
1/02/2017;18:05;1/02/2017 18:05;0;9,036455744
1/02/2017;18:10;1/02/2017 18:10;0;9,191740759
1/02/2017;18:15;1/02/2017 18:15;0;9,174686266
1/02/2017;18:20;1/02/2017 18:20;0;9,170287425
1/02/2017;18:25;1/02/2017 18:25;0;8,909955761
1/02/2017;18:30;1/02/2017 18:30;0;8,788340527
1/02/2017;18:35;1/02/2017 18:35;0;8,458426387
1/02/2017;18:40;1/02/2017 18:40;0;8,115245966
1/02/2017;18:45;1/02/2017 18:45;0;7,985928108
1/02/2017;18:50;1/02/2017 18:50;0;8,097393016
1/02/2017;18:55;1/02/2017 18:55;0;7,98053768
1/02/2017;19:00;1/02/2017 19:00;0;8,082500916
1/02/2017;19:05;1/02/2017 19:05;0;8,105254004
1/02/2017;19:10;1/02/2017 19:10;0;8,168627743
1/02/2017;19:15;1/02/2017 19:15;0;8,241975603
1/02/2017;19:20;1/02/2017 19:20;0;8,25621234
1/02/2017;19:25;1/02/2017 19:25;0;8,398488832
1/02/2017;19:30;1/02/2017 19:30;0;8,784122476
1/02/2017;19:35;1/02/2017 19:35;0;8,714307051
1/02/2017;19:40;1/02/2017 19:40;0;8,547218156
1/02/2017;19:45;1/02/2017 19:45;0;8,35863271
1/02/2017;19:50;1/02/2017 19:50;0;8,319771932
1/02/2017;19:55;1/02/2017 19:55;0;8,599386021
1/02/2017;20:00;1/02/2017 20:00;0;8,154548598
1/02/2017;20:05;1/02/2017 20:05;0;7,939151249
1/02/2017;20:10;1/02/2017 20:10;0;7,728209082
1/02/2017;20:15;1/02/2017 20:15;0;7,647246984
1/02/2017;20:20;1/02/2017 20:20;0;7,449642162
1/02/2017;20:25;1/02/2017 20:25;0;7,396667874
1/02/2017;20:30;1/02/2017 20:30;0;7,241996633
1/02/2017;20:35;1/02/2017 20:35;0;7,245941714
1/02/2017;20:40;1/02/2017 20:40;0;6,947865607
1/02/2017;20:45;1/02/2017 20:45;0;6,945907989
1/02/2017;20:50;1/02/2017 20:50;0;6,802556163
1/02/2017;20:55;1/02/2017 20:55;0;6,868148202
1/02/2017;21:00;1/02/2017 21:00;0;6,797137502
1/02/2017;21:05;1/02/2017 21:05;0;6,739690293
1/02/2017;21:10;1/02/2017 21:10;0;6,713685522
1/02/2017;21:15;1/02/2017 21:15;0;6,690652626
1/02/2017;21:20;1/02/2017 21:20;0;6,596434552
1/02/2017;21:25;1/02/2017 21:25;0;6,609541796
1/02/2017;21:30;1/02/2017 21:30;0;6,569609096
1/02/2017;21:35;1/02/2017 21:35;0;7,120622794
1/02/2017;21:40;1/02/2017 21:40;0;7,247248555
1/02/2017;21:45;1/02/2017 21:45;0;7,176854758
1/02/2017;21:50;1/02/2017 21:50;0;7,079110603
1/02/2017;21:55;1/02/2017 21:55;0;7,055918138
1/02/2017;22:00;1/02/2017 22:00;0;7,122580244
1/02/2017;22:05;1/02/2017 22:05;0;6,980780445
1/02/2017;22:10;1/02/2017 22:10;0;6,964831243
1/02/2017;22:15;1/02/2017 22:15;0;7,157120778
1/02/2017;22:20;1/02/2017 22:20;0;6,91837865
1/02/2017;22:25;1/02/2017 22:25;0;6,811962653
1/02/2017;22:30;1/02/2017 22:30;0;6,94804525
1/02/2017;22:35;1/02/2017 22:35;0;6,814298928
1/02/2017;22:40;1/02/2017 22:40;0;6,808224385
1/02/2017;22:45;1/02/2017 22:45;0;6,683510358
1/02/2017;22:50;1/02/2017 22:50;0;6,789376756
1/02/2017;22:55;1/02/2017 22:55;0;6,773657093
1/02/2017;23:00;1/02/2017 23:00;0;6,741780922
1/02/2017;23:05;1/02/2017 23:05;0;6,743959743
1/02/2017;23:10;1/02/2017 23:10;0;6,832334137
1/02/2017;23:15;1/02/2017 23:15;0;6,67658637
1/02/2017;23:20;1/02/2017 23:20;0;6,619170364
1/02/2017;23:25;1/02/2017 23:25;0;6,686662496
1/02/2017;23:30;1/02/2017 23:30;0;6,609635773
1/02/2017;23:35;1/02/2017 23:35;0;6,68708195
1/02/2017;23:40;1/02/2017 23:40;0;6,717417587
1/02/2017;23:45;1/02/2017 23:45;0;6,595871148
1/02/2017;23:50;1/02/2017 23:50;0;6,591635401
1/02/2017;23:55;1/02/2017 23:55;0;6,709779479
2/02/2017;0:00;2/02/2017 0:00;0;6,711880647
2/02/2017;0:05;2/02/2017 0:05;0;6,689743256
2/02/2017;0:10;2/02/2017 0:10;0;6,748463436
2/02/2017;0:15;2/02/2017 0:15;0;6,819674492
2/02/2017;0:20;2/02/2017 0:20;0;6,714822857
2/02/2017;0:25;2/02/2017 0:25;0;6,82752322
2/02/2017;0:30;2/02/2017 0:30;0;6,84061488
2/02/2017;0:35;2/02/2017 0:35;0;6,977422997
2/02/2017;0:40;2/02/2017 0:40;0;7,034710247
2/02/2017;0:45;2/02/2017 0:45;0;7,023503472
2/02/2017;0:50;2/02/2017 0:50;0;7,008362986
2/02/2017;0:55;2/02/2017 0:55;0;7,127139529
2/02/2017;1:00;2/02/2017 1:00;0;7,148642035
2/02/2017;1:05;2/02/2017 1:05;0;7,30129094
2/02/2017;1:10;2/02/2017 1:10;0;6,610998434
2/02/2017;1:15;2/02/2017 1:15;0;7,337239095
2/02/2017;1:20;2/02/2017 1:20;0;6,560028535
2/02/2017;1:25;2/02/2017 1:25;0;6,760551112
2/02/2017;1:30;2/02/2017 1:30;0;6,794000208
2/02/2017;1:35;2/02/2017 1:35;0;6,85545249
2/02/2017;1:40;2/02/2017 1:40;0;6,953626491
2/02/2017;1:45;2/02/2017 1:45;0;7,017396909
2/02/2017;1:50;2/02/2017 1:50;0;7,188376393
2/02/2017;1:55;2/02/2017 1:55;0;7,346342405
2/02/2017;2:00;2/02/2017 2:00;0;7,322873611
2/02/2017;2:05;2/02/2017 2:05;0;7,413256486
2/02/2017;2:10;2/02/2017 2:10;0;7,434632562
2/02/2017;2:15;2/02/2017 2:15;0;7,271141644
2/02/2017;2:20;2/02/2017 2:20;0;7,430212865
2/02/2017;2:25;2/02/2017 2:25;0;7,425794569
2/02/2017;2:30;2/02/2017 2:30;0;7,568935646
2/02/2017;2:35;2/02/2017 2:35;0;7,60892518
2/02/2017;2:40;2/02/2017 2:40;0;7,46790687
2/02/2017;2:45;2/02/2017 2:45;0;7,382755574
2/02/2017;2:50;2/02/2017 2:50;0;7,346818642
2/02/2017;2:55;2/02/2017 2:55;0;7,157193746
2/02/2017;3:00;2/02/2017 3:00;0;7,006776515
2/02/2017;3:05;2/02/2017 3:05;0;6,883541835
2/02/2017;3:10;2/02/2017 3:10;0;6,924942695
2/02/2017;3:15;2/02/2017 3:15;0;6,798327285
2/02/2017;3:20;2/02/2017 3:20;0;6,772672166
2/02/2017;3:25;2/02/2017 3:25;0;6,723974977
2/02/2017;3:30;2/02/2017 3:30;0;6,59069613
2/02/2017;3:35;2/02/2017 3:35;0;7,285085178
2/02/2017;3:40;2/02/2017 3:40;0;7,258325743
2/02/2017;3:45;2/02/2017 3:45;0;7,27147989
2/02/2017;3:50;2/02/2017 3:50;0;7,204089664
2/02/2017;3:55;2/02/2017 3:55;0;7,182935277
2/02/2017;4:00;2/02/2017 4:00;0;7,221783093
2/02/2017;4:05;2/02/2017 4:05;0;7,121401346
2/02/2017;4:10;2/02/2017 4:10;0;7,207803782
2/02/2017;4:15;2/02/2017 4:15;0;7,049853009
2/02/2017;4:20;2/02/2017 4:20;0;7,072245536
2/02/2017;4:25;2/02/2017 4:25;0;7,050358333
2/02/2017;4:30;2/02/2017 4:30;0;7,043238835
2/02/2017;4:35;2/02/2017 4:35;0;7,042807887
2/02/2017;4:40;2/02/2017 4:40;0;6,989851686
2/02/2017;4:45;2/02/2017 4:45;0;6,854761533
2/02/2017;4:50;2/02/2017 4:50;0;6,7178836
2/02/2017;4:55;2/02/2017 4:55;0;6,80212574
2/02/2017;5:00;2/02/2017 5:00;0;6,804314681
2/02/2017;5:05;2/02/2017 5:05;0;6,797748957
2/02/2017;5:10;2/02/2017 5:10;0;6,701410367
2/02/2017;5:15;2/02/2017 5:15;0;6,75666432
2/02/2017;5:20;2/02/2017 5:20;0;6,680201466
2/02/2017;5:25;2/02/2017 5:25;0;7,252581507
2/02/2017;5:30;2/02/2017 5:30;0;7,232554658
2/02/2017;5:35;2/02/2017 5:35;0;7,17118862
2/02/2017;5:40;2/02/2017 5:40;0;7,032258765
2/02/2017;5:45;2/02/2017 5:45;0;7,040837819
2/02/2017;5:50;2/02/2017 5:50;0;6,923674121
2/02/2017;5:55;2/02/2017 5:55;0;6,949518875
2/02/2017;6:00;2/02/2017 6:00;0;6,928045207
2/02/2017;6:05;2/02/2017 6:05;0;6,715106308
2/02/2017;6:10;2/02/2017 6:10;0;7,33172905
2/02/2017;6:15;2/02/2017 6:15;0;6,594464537
2/02/2017;6:20;2/02/2017 6:20;0;6,691804536
2/02/2017;6:25;2/02/2017 6:25;0;7,308864342
2/02/2017;6:30;2/02/2017 6:30;0;6,622257041
2/02/2017;6:35;2/02/2017 6:35;0;7,311732117
2/02/2017;6:40;2/02/2017 6:40;0;7,267299167
2/02/2017;6:45;2/02/2017 6:45;0;7,320070648
2/02/2017;6:50;2/02/2017 6:50;0;6,615355239
2/02/2017;6:55;2/02/2017 6:55;0;6,628232363
2/02/2017;7:00;2/02/2017 7:00;0;7,274399154
2/02/2017;7:05;2/02/2017 7:05;0;7,285074447
2/02/2017;7:10;2/02/2017 7:10;0;6,580556992
2/02/2017;7:15;2/02/2017 7:15;0;7,180885156
2/02/2017;7:20;2/02/2017 7:20;0;7,27049433
2/02/2017;7:25;2/02/2017 7:25;0;6,596479734
2/02/2017;7:30;2/02/2017 7:30;0;7,306854077
2/02/2017;7:35;2/02/2017 7:35;0;7,280914742
2/02/2017;7:40;2/02/2017 7:40;0;7,231945038
2/02/2017;7:45;2/02/2017 7:45;0;7,244049919
2/02/2017;7:50;2/02/2017 7:50;0;7,191240081
2/02/2017;7:55;2/02/2017 7:55;0;7,164708239
2/02/2017;8:00;2/02/2017 8:00;0;7,090311933
2/02/2017;8:05;2/02/2017 8:05;0;7,00240133
2/02/2017;8:10;2/02/2017 8:10;0;6,883567678
2/02/2017;8:15;2/02/2017 8:15;0;6,960925379
2/02/2017;8:20;2/02/2017 8:20;0;6,928389419
2/02/2017;8:25;2/02/2017 8:25;0;6,894980242
2/02/2017;8:30;2/02/2017 8:30;0;6,736197116
2/02/2017;8:35;2/02/2017 8:35;0;6,723752401
2/02/2017;8:40;2/02/2017 8:40;0;6,740357886
2/02/2017;8:45;2/02/2017 8:45;0;6,716248715
2/02/2017;8:50;2/02/2017 8:50;0;6,733864513
2/02/2017;8:55;2/02/2017 8:55;0;6,665116998
2/02/2017;9:00;2/02/2017 9:00;0;6,642848114
2/02/2017;9:05;2/02/2017 9:05;0;6,800135775
2/02/2017;9:10;2/02/2017 9:10;0;6,703822548
2/02/2017;9:15;2/02/2017 9:15;0;6,652577973
2/02/2017;9:20;2/02/2017 9:20;0;6,628466961
2/02/2017;9:25;2/02/2017 9:25;0;6,743191291
2/02/2017;9:30;2/02/2017 9:30;0;6,764135856
2/02/2017;9:35;2/02/2017 9:35;0;6,796362013
2/02/2017;9:40;2/02/2017 9:40;0;6,745393804
2/02/2017;9:45;2/02/2017 9:45;0;6,6402913
2/02/2017;9:50;2/02/2017 9:50;0;6,706648222
2/02/2017;9:55;2/02/2017 9:55;0;6,715875411
2/02/2017;10:00;2/02/2017 10:00;0;6,684390145
2/02/2017;10:05;2/02/2017 10:05;0;6,74069592
2/02/2017;10:10;2/02/2017 10:10;0;6,676360723
2/02/2017;10:15;2/02/2017 10:15;0;6,792361046
2/02/2017;10:20;2/02/2017 10:20;0;6,91127013
2/02/2017;10:25;2/02/2017 10:25;0;6,969006713
2/02/2017;10:30;2/02/2017 10:30;0;7,166041159
2/02/2017;10:35;2/02/2017 10:35;0;7,167895805
2/02/2017;10:40;2/02/2017 10:40;0;6,606055667
2/02/2017;10:45;2/02/2017 10:45;0;7,307290346
2/02/2017;10:50;2/02/2017 10:50;0;6,719847938
2/02/2017;10:55;2/02/2017 10:55;0;6,844959393
2/02/2017;11:00;2/02/2017 11:00;0;6,868174755
2/02/2017;11:05;2/02/2017 11:05;0;6,859409935
2/02/2017;11:10;2/02/2017 11:10;0;7,099350764
2/02/2017;11:15;2/02/2017 11:15;0;7,24851195
2/02/2017;11:20;2/02/2017 11:20;0;6,591903169
2/02/2017;11:25;2/02/2017 11:25;0;6,844078369
2/02/2017;11:30;2/02/2017 11:30;0;6,988793544
2/02/2017;11:35;2/02/2017 11:35;0;6,937760404
2/02/2017;11:40;2/02/2017 11:40;0;6,992730837
2/02/2017;11:45;2/02/2017 11:45;0;6,927135265
2/02/2017;11:50;2/02/2017 11:50;0;7,00957308
2/02/2017;11:55;2/02/2017 11:55;0;7,010432863
2/02/2017;12:00;2/02/2017 12:00;0;7,022489294
2/02/2017;12:05;2/02/2017 12:05;0;7,106382345
2/02/2017;12:10;2/02/2017 12:10;0;7,157909622
2/02/2017;12:15;2/02/2017 12:15;0;7,243518135
2/02/2017;12:20;2/02/2017 12:20;0;6,63321362
2/02/2017;12:25;2/02/2017 12:25;0;6,642986431
2/02/2017;12:30;2/02/2017 12:30;0;6,751537115
2/02/2017;12:35;2/02/2017 12:35;0;6,747337704
2/02/2017;12:40;2/02/2017 12:40;0;6,738213629
2/02/2017;12:45;2/02/2017 12:45;0;6,803077145
2/02/2017;12:50;2/02/2017 12:50;0;6,772735791
